District_Name,Fiscal_Year,Fund_Code,Object_Code,School_Code,Function_Code,Program_Code,Account_Name,Date,TransactionNo,Journal,Description,absolute_amount,Credit_Flag,amount
Aleutian Region School District,19,100,310,100,099,000,Certificated Salaries,3/16/2019,5707,GJNLA,Reap Incentive Retention Fring,"8,257.39",CR,-8257.39
Aleutian Region School District,19,100,310,100,302,000,Certified Salaries,8/29/2018,5566,LABOR,Employee,"2,000.00",,2000
Aleutian Region School District,19,100,310,100,302,000,Certified Salaries,8/29/2018,5569,LABOR,Employee,"2,000.00",,2000
Aleutian Region School District,19,100,310,100,302,000,Certified Salaries,8/29/2018,5573,LABOR,Reversal of 5569T,"2,000.00",CR,-2000
Aleutian Region School District,19,100,310,100,302,000,Certified Salaries,8/29/2018,5581,LABOR,Employee,"2,000.00",CR,-2000
Aleutian Region School District,19,100,310,100,302,000,Certified Salaries,8/29/2018,5582,LABOR,Employee,"2,000.00",,2000
Aleutian Region School District,19,100,310,100,302,000,Certified Salaries,8/29/2018,5583,LABOR,Employee,"2,000.00",CR,-2000
Aleutian Region School District,19,100,310,100,302,000,Certified Salaries,8/29/2018,5584,LABOR,Employee,"2,000.00",,2000
Aleutian Region School District,19,100,310,100,302,000,Certified Salaries,8/29/2018,5587,LABOR,Reversal of 5583T,"2,000.00",,2000
Aleutian Region School District,19,100,310,100,302,000,Certified Salaries,8/29/2018,5588,LABOR,Reversal of 5582T,"2,000.00",CR,-2000
Aleutian Region School District,19,100,310,100,302,000,Certified Salaries,8/29/2018,5589,LABOR,Reversal of 5581T,"2,000.00",,2000
Aleutian Region School District,19,100,310,100,302,000,Certified Salaries,8/29/2018,5594,LABOR,Reversal of 5569T,"2,000.00",CR,-2000
Aleutian Region School District,19,100,310,100,302,000,Certified Salaries,9/17/2018,5604,LABOR,Employee,"6,817.25",,6817.25
Aleutian Region School District,19,100,310,100,302,000,Certified Salaries,10/16/2018,5622,LABOR,Employee,"6,817.25",,6817.25
Aleutian Region School District,19,100,310,100,302,000,Certified Salaries,11/15/2018,5640,LABOR,Employee,"6,817.25",,6817.25
Aleutian Region School District,19,100,310,100,302,000,Certified Salaries,12/17/2018,5658,LABOR,Employee,"2,500.00",,2500
Aleutian Region School District,19,100,310,100,302,000,Certified Salaries,12/17/2018,5658,LABOR,Employee,"6,817.25",,6817.25
