District_Name,Fiscal_Year,Fund_Code,School_Code,Function_Code,Program_Code,Object_Code,Account_Name,Description,Budget,Encumbrance,Amount,Date,Reference_Type,Reference,Check_Key,Claim_No,Received_From,Vendor_Number,Vendor_Name,Invoice_Number,Batch_Year,BatchNo
Copper River School District,19,100,0,0,0,364,FICA CONTRIBUTION,7/15/2018 CLAS/ADM PAYROLL - L,0,0,29.07,7/31/2018,J,1148, , ,,         ,                              ,                   ,19,12
Copper River School District,19,100,0,0,0,364,FICA CONTRIBUTION,12/15/2018 PAYROLL - LABOR DIS,0,0,140.76,12/21/2018,J,1200, , ,,         ,                              ,                   ,19,136
Copper River School District,19,100,4,100,0,315,TEACHER,08/15/2018 PAYROLL - LABOR DIS,0,0,1012.2,8/31/2018,J,1172, , ,,         ,                              ,                   ,19,41
Copper River School District,19,100,4,100,0,315,TEACHER,9/15/2018 PAYROLL LABOR DISTRI,0,0,3407.94,9/28/2018,J,1180, , ,,         ,                              ,                   ,19,59
Copper River School District,19,100,4,100,0,315,TEACHER,10/15/2018 PAYROLL,0,0,4305.5,10/31/2018,J,1185, , ,,         ,                              ,                   ,19,91
Copper River School District,19,100,4,100,0,315,TEACHER,11/15/2018 PAYROLL - LABOR DIS,0,0,4005.5,11/30/2018,J,1197, , ,,         ,                              ,                   ,19,119
Copper River School District,19,100,4,100,0,315,TEACHER,12/15/2018 PAYROLL - LABOR DIS,0,0,4005.5,12/21/2018,J,1200, , ,,         ,                              ,                   ,19,136
Copper River School District,19,100,4,100,0,315,TEACHER,1/15/2019 PAYROLL LAB DIST,0,0,4005.5,1/31/2019,J,1224, , ,,         ,                              ,                   ,19,186
Copper River School District,19,100,4,100,0,315,TEACHER,2/15/2019 PAYROLL - LABOR DIST,0,0,4005.5,2/28/2019,J,1240, , ,,         ,                              ,                   ,19,233
Copper River School District,19,100,4,100,0,315,TEACHER,3/15/2019 PAYROLL - LABOR DIST,0,0,4005.5,3/29/2019,J,1245, , ,,         ,                              ,                   ,19,253
Copper River School District,19,100,4,100,0,315,TEACHER,4/15/2019 PR LABOR DIST,0,0,4005.5,4/30/2019,J,1258, , ,,         ,                              ,                   ,19,292
Copper River School District,19,100,4,100,0,315,TEACHER,5/15/2019 PAYROLL - LABOR DIST,0,0,4193,5/31/2019,J,1263, , ,,         ,                              ,                   ,19,325
Copper River School District,19,100,4,100,0,315,TEACHER,06/15/2019 PAYROLL LABOR DIST,0,0,3205.5,6/28/2019,J,1276, , ,,         ,                              ,                   ,19,353
Copper River School District,19,100,4,100,0,315,TEACHER,7/15/2019 CERT/ADM PAYROLL - L,0,0,3205.5,6/29/2019,J,1281, , ,,         ,                              ,                   ,19,368
Copper River School District,19,100,4,100,0,315,TEACHER,8/15/2019 CERT PAYROLL LABOR D,0,0,3203.25,6/30/2019,J,1284, , ,,         ,                              ,                   ,19,371
Copper River School District,19,100,6,100,0,315,TEACHER,08/15/2018 PAYROLL - LABOR DIS,0,0,7654.06,8/31/2018,J,1172, , ,,         ,                              ,                   ,19,41
Copper River School District,19,100,6,100,0,315,TEACHER,9/15/2018 PAYROLL LABOR DISTRI,0,0,23726.95,9/28/2018,J,1180, , ,,         ,                              ,                   ,19,59
Copper River School District,19,100,6,100,0,315,TEACHER,10/15/2018 PAYROLL,0,0,24780.37,10/31/2018,J,1185, , ,,         ,                              ,                   ,19,91
Copper River School District,19,100,6,100,0,315,TEACHER,11/15/2018 PAYROLL - LABOR DIS,0,0,24780.37,11/30/2018,J,1197, , ,,         ,                              ,                   ,19,119
Copper River School District,19,100,6,100,0,315,TEACHER,12/15/2018 PAYROLL - LABOR DIS,0,0,25677.15,12/21/2018,J,1200, , ,,         ,                              ,                   ,19,136
Copper River School District,19,100,6,100,0,315,TEACHER,1/15/2019 PAYROLL LAB DIST,0,0,25155.37,1/31/2019,J,1224, , ,,         ,                              ,                   ,19,186
Copper River School District,19,100,6,100,0,315,TEACHER,2/15/2019 PAYROLL - LABOR DIST,0,0,24780.37,2/28/2019,J,1240, , ,,         ,                              ,                   ,19,233
Copper River School District,19,100,6,100,0,315,TEACHER,3/15/2019 PAYROLL - LABOR DIST,0,0,24780.37,3/29/2019,J,1245, , ,,         ,                              ,                   ,19,253
Copper River School District,19,100,6,100,0,315,TEACHER,4/15/2019 PR LABOR DIST,0,0,22386.34,4/30/2019,J,1258, , ,,         ,                              ,                   ,19,292
Copper River School District,19,100,6,100,0,315,TEACHER,5/15/2019 PAYROLL - LABOR DIST,0,0,22916.75,5/31/2019,J,1263, , ,,         ,                              ,                   ,19,325
Copper River School District,19,100,6,100,0,315,TEACHER,06/15/2019 PAYROLL LABOR DIST,0,0,24889.82,6/28/2019,J,1276, , ,,         ,                              ,                   ,19,353
Copper River School District,19,100,6,100,0,315,TEACHER,7/15/2019 CERT/ADM PAYROLL - L,0,0,23606.12,6/29/2019,J,1281, , ,,         ,                              ,                   ,19,368
Copper River School District,19,100,6,100,0,315,TEACHER,8/15/2019 CERT PAYROLL LABOR D,0,0,23589.14,6/30/2019,J,1284, , ,,         ,                              ,                   ,19,371
Copper River School District,19,100,6,100,0,315,TEACHER,CORRECT CODING,0,0,12258.4,6/30/2019,J,1346, , ,,         ,                              ,                   ,19,428
Copper River School District,19,100,7,100,0,315,TEACHER,08/15/2018 PAYROLL - LABOR DIS,0,0,1323.25,8/31/2018,J,1172, , ,,         ,                              ,                   ,19,41
Copper River School District,19,100,7,100,0,315,TEACHER,9/15/2018 PAYROLL LABOR DISTRI,0,0,30809.53,9/28/2018,J,1180, , ,,         ,                              ,                   ,19,59
Copper River School District,19,100,7,100,0,315,TEACHER,10/15/2018 PAYROLL,0,0,30893.86,10/31/2018,J,1185, , ,,         ,                              ,                   ,19,91
Copper River School District,19,100,7,100,0,315,TEACHER,11/15/2018 PAYROLL - LABOR DIS,0,0,30893.86,11/30/2018,J,1197, , ,,         ,                              ,                   ,19,119
Copper River School District,19,100,7,100,0,315,TEACHER,12/15/2018 PAYROLL - LABOR DIS,0,0,30893.86,12/21/2018,J,1200, , ,,         ,                              ,                   ,19,136
Copper River School District,19,100,7,100,0,315,TEACHER,1/15/2019 PAYROLL LAB DIST,0,0,31000.32,1/31/2019,J,1224, , ,,         ,                              ,                   ,19,186
Copper River School District,19,100,7,100,0,315,TEACHER,2/15/2019 PAYROLL - LABOR DIST,0,0,31000.32,2/28/2019,J,1240, , ,,         ,                              ,                   ,19,233
Copper River School District,19,100,7,100,0,315,TEACHER,3/15/2019 PAYROLL - LABOR DIST,0,0,31000.32,3/29/2019,J,1245, , ,,         ,                              ,                   ,19,253
Copper River School District,19,100,7,100,0,315,TEACHER,4/15/2019 PR LABOR DIST,0,0,30734.17,4/30/2019,J,1258, , ,,         ,                              ,                   ,19,292
Copper River School District,19,100,7,100,0,315,TEACHER,5/15/2019 PAYROLL - LABOR DIST,0,0,30859.17,5/31/2019,J,1263, , ,,         ,                              ,                   ,19,325
