District_Name,Fiscal_Year,Fund_Code,Object_Code,Function_Code,Program_Code,School_Code,Demo_Desc,Date,Post_Type,Source,Reference,Description,Units,Debit,Credit,Amount
Chugach School District,19,100,310,100,200,0,,10/31/2018,Actual,P/R,11,REDACTED,67.5,"3,276.25",,3276.25
Chugach School District,19,100,410,140,610,0,,11/1/2018,Actual,A/P,31-Oct,REDACTED,,241.61,,241.61
Chugach School District,19,100,610,0,0,0,,11/6/2018,Actual,A/P,64569,REDACTED,,,"2,445.40",-2445.4
Chugach School District,19,100,619,0,0,0,,2/11/2019,Actual,C/R,68970,REDACTED,,103.75,,103.75
Chugach School District,19,100,630,0,0,0,,2/11/2019,Actual,C/R,68970,REDACTED,,,103.75,-103.75
Chugach School District,19,100,619,0,0,0,,6/11/2019,Actual,C/R,69029,REDACTED,,549.99,,549.99
Chugach School District,19,100,630,0,0,0,,6/11/2019,Actual,C/R,69029,REDACTED,,,549.99,-549.99
Chugach School District,19,100,410,140,620,0,,8/9/2018,Actual,A/P,3-Aug,REDACTED,,546,,546
Chugach School District,19,100,410,140,620,0,,11/6/2018,Actual,A/P,30-Oct,REDACTED,,218,,218
Chugach School District,19,100,410,140,620,0,,12/10/2018,Actual,A/P,6-Dec,REDACTED,,231.09,,231.09
Chugach School District,19,100,410,140,620,0,,12/10/2018,Actual,A/P,6-Dec,REDACTED,,93.91,,93.91
Chugach School District,19,100,433,140,620,0,,8/9/2018,Actual,A/P,3-Aug,REDACTED,,94.99,,94.99
Chugach School District,19,100,433,140,620,0,,9/27/2018,Actual,A/P,10-Sep,REDACTED,,94.99,,94.99
Chugach School District,19,100,433,140,620,0,,11/6/2018,Actual,A/P,30-Oct,REDACTED,,189.98,,189.98
Chugach School District,19,100,450,140,620,0,,9/27/2018,Actual,A/P,10-Sep,REDACTED,,254.85,,254.85
Chugach School District,19,100,450,140,620,0,,12/10/2018,Actual,A/P,6-Dec,REDACTED,,209.97,,209.97
Chugach School District,19,100,610,0,0,0,,8/10/2018,Actual,A/P,63671,REDACTED,,,640.99,-640.99
Chugach School District,19,100,610,0,0,0,,9/27/2018,Actual,A/P,64154,REDACTED,,,349.84,-349.84
Chugach School District,19,100,610,0,0,0,,11/6/2018,Actual,A/P,64567,REDACTED,,,407.98,-407.98
Chugach School District,19,100,610,0,0,0,,12/10/2018,Actual,A/P,64808,REDACTED,,,534.97,-534.97
Chugach School District,19,100,710,0,0,0,,8/9/2018,Actual,A/P,3-Aug,REDACTED,,,640.99,-640.99
Chugach School District,19,100,710,0,0,0,,8/10/2018,Actual,A/P,63671,REDACTED,,640.99,,640.99
Chugach School District,19,100,710,0,0,0,,9/27/2018,Actual,A/P,64154,REDACTED,,349.84,,349.84
Chugach School District,19,100,710,0,0,0,,9/27/2018,Actual,A/P,10-Sep,REDACTED,,,349.84,-349.84
Chugach School District,19,100,710,0,0,0,,11/6/2018,Actual,A/P,30-Oct,REDACTED,,,407.98,-407.98
Chugach School District,19,100,710,0,0,0,,11/6/2018,Actual,A/P,64567,REDACTED,,407.98,,407.98
Chugach School District,19,100,710,0,0,0,,12/10/2018,Actual,A/P,6-Dec,REDACTED,,,534.97,-534.97
Chugach School District,19,100,710,0,0,0,,12/10/2018,Actual,A/P,64808,REDACTED,,534.97,,534.97
Chugach School District,19,100,410,140,620,0,,1/5/2019,Actual,A/P,12-Dec,REDACTED,,130,,130
Chugach School District,19,100,410,140,620,0,,1/21/2019,Actual,A/P,8-Dec,REDACTED,,400,,400
Chugach School District,19,100,410,140,620,0,,2/19/2019,Actual,A/P,6-Feb,REDACTED,,100,,100
Chugach School District,19,100,410,140,620,0,,4/2/2019,Actual,A/P,19-Mar,REDACTED,,310,,310
Chugach School District,19,100,410,140,620,0,,5/14/2019,Actual,A/P,7-May,REDACTED,,395,,395
Chugach School District,19,100,410,140,620,0,,6/12/2019,Actual,A/P,2-Jun,REDACTED,,700,,700
Chugach School District,19,100,433,140,620,0,,1/5/2019,Actual,A/P,12-Dec,REDACTED,,94.99,,94.99
