District_Name,Fiscal_Year,Fund_Code,Object_Code,Function_Code,Program_Code,School_Code,Account_Name,Demo_Desc,Date,Description,Debit,Credit,Amount
Chugach School District,20,100,310,100,100,0,Certificated Salaries,,6/30/2020,Grant clean-up and indirect costs booked,706.83,,706.83
Chugach School District,20,100,310,100,200,0,Certificated Salaries,D. Treece salary adjustment,8/31/2019,REDACTED,"4,486.98",,4486.98
Chugach School District,20,100,310,100,200,0,Certificated Salaries,,9/30/2019,REDACTED,"4,486.98",,4486.98
Chugach School District,20,100,310,100,200,0,Certificated Salaries,,10/31/2019,REDACTED,"4,486.98",,4486.98
Chugach School District,20,100,310,100,200,0,Certificated Salaries,,11/30/2019,REDACTED,"4,486.98",,4486.98
Chugach School District,20,100,310,100,200,0,Certificated Salaries,,12/31/2019,REDACTED,"4,638.72",,4638.72
Chugach School District,20,100,310,100,200,0,Certificated Salaries,,1/31/2020,REDACTED,"4,638.72",,4638.72
Chugach School District,20,100,310,100,200,0,Certificated Salaries,,2/29/2020,REDACTED,"4,617.79",,4617.79
Chugach School District,20,100,310,100,200,0,Certificated Salaries,,3/31/2020,REDACTED,"4,638.72",,4638.72
Chugach School District,20,100,310,100,200,0,Certificated Salaries,,4/30/2020,REDACTED,"4,638.72",,4638.72
Chugach School District,20,100,310,100,200,0,Certificated Salaries,,5/31/2020,REDACTED,"3,350.34",,3350.34
Chugach School District,20,100,310,100,200,0,Certificated Salaries,,5/31/2020,REDACTED,"6,103.61",,6103.61
Chugach School District,20,100,310,100,200,0,Certificated Salaries,,6/29/2020,REDACTED,"5,318.00",,5318
Chugach School District,20,100,310,100,200,0,Certificated Salaries,,6/29/2020,REDACTED,"4,638.72",,4638.72
Chugach School District,20,100,310,100,200,0,Certificated Salaries,,6/30/2020,REDACTED,"4,638.72",,4638.72
Chugach School District,20,100,310,100,200,0,Certificated Salaries,,6/30/2020,REDACTED,"5,318.00",,5318
Chugach School District,20,100,310,100,300,0,Certificated Salaries,,8/31/2019,REDACTED,"5,645.58",,5645.58
Chugach School District,20,100,310,100,300,0,Certificated Salaries,,9/30/2019,REDACTED,"5,645.58",,5645.58
Chugach School District,20,100,310,100,300,0,Certificated Salaries,,10/31/2019,REDACTED,"5,645.58",,5645.58
Chugach School District,20,100,310,100,300,0,Certificated Salaries,,11/30/2019,REDACTED,"5,645.58",,5645.58
Chugach School District,20,100,310,100,300,0,Certificated Salaries,,12/31/2019,REDACTED,"5,645.58",,5645.58
Chugach School District,20,100,310,100,300,0,Certificated Salaries,,1/31/2020,REDACTED,"5,645.58",,5645.58
Chugach School District,20,100,310,100,300,0,Certificated Salaries,,2/29/2020,REDACTED,"5,645.58",,5645.58
Chugach School District,20,100,310,100,300,0,Certificated Salaries,,2/29/2020,REDACTED,"6,741.89",,6741.89
