School_District,Account_Name,V_Counter,Description,Debit,Credit,Date,Reference_Type,Reference,Check_Key,Claim_No,Received_From,Vendor_Number,Vendor_Name,Invoice_Number,Batch_year,BatchNo,Cancel_Flag,CP_Dummy,Unnamed_19,Fiscal_Year,Fund_Code,School_Code,Function_Code,Program_Code,Object_Code
Cordova City School District,100 Regular.000.TRS Retire Contributions,1-07012018,FY19 Adopted Budget,0,223552,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,1-07012018,,19,100,0,100,0,367
Cordova City School District,100.000.PERS Retire Contrib,1-07012018,FY19 Adopted Budget,0,633,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,1-07012018,,19,100,0,100,0,368
Cordova City School District,100 Regular.000.TRS On-Behalf,1-06302019,FY19 OnBehalf Expense TRS,96451.05,0,6/30/2019,J,1108,,,,         ,                              ,                   ,19,779,   ,1-06302019,,19,100,0,100,0,375
Cordova City School District,100 Regular.000.TRS On-Behalf,2-04302019,TRS OnBehalf as of April 30 20,167274.2,0,4/30/2019,J,1059,,,,         ,                              ,                   ,19,664,   ,2-04302019,,19,100,0,100,0,375
Cordova City School District,100 Regular.000.PERS On-Behalf,1-06302019,FY19 OnBehalf Expense PERS,1807.09,0,6/30/2019,J,1109,,,,         ,                              ,                   ,19,779,   ,1-06302019,,19,100,0,100,0,376
Cordova City School District,100 Regular.000.PERS On-Behalf,2-04302019,PERS OnBehalf as of April 30 2,4437.68,0,4/30/2019,J,1060,,,,         ,                              ,                   ,19,664,   ,2-04302019,,19,100,0,100,0,376
Cordova City School District,140.000.TRS Retire Contribu,1-06302019,FY19 Revised Budget F140 -,0,-14649,6/30/2019,B,486,,,,         ,                              ,                   ,19,738,   ,1-06302019,,19,100,0,140,0,367
Cordova City School District,140.000.TRS Retire Contribu,2-07012018,FY19 Adopted Budget,0,14649,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,2-07012018,,19,100,0,140,0,367
Cordova City School District,160 Voc Ed.000.TRS Retire Contributions,1-07012018,FY19 Adopted Budget,0,24431,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,1-07012018,,19,100,0,160,0,367
Cordova City School District,160 Voc Ed.000.TRS On-Behalf,1-06302019,FY19 OnBehalf Expense TRS,6545.01,0,6/30/2019,J,1108,,,,         ,                              ,                   ,19,779,   ,1-06302019,,19,100,0,160,0,375
Cordova City School District,160 Voc Ed.000.TRS On-Behalf,2-04302019,TRS OnBehalf as of April 30 20,11169.7,0,4/30/2019,J,1059,,,,         ,                              ,                   ,19,664,   ,2-04302019,,19,100,0,160,0,375
Cordova City School District,200.000.TRS Retire Contribu,1-07012018,FY19 Adopted Budget,0,21692,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,1-07012018,,19,100,0,200,0,367
Cordova City School District,200.000.PERS Retire Contrib,1-07012018,FY19 Adopted Budget,0,11792,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,1-07012018,,19,100,0,200,0,368
Cordova City School District,200 SpEd Instruction.000.TRS On-Behalf,1-06302019,FY19 OnBehalf Expense TRS,9450.14,0,6/30/2019,J,1108,,,,         ,                              ,                   ,19,779,   ,1-06302019,,19,100,0,200,0,375
Cordova City School District,200 SpEd Instruction.000.TRS On-Behalf,2-04302019,TRS OnBehalf as of April 30 20,11267.76,0,4/30/2019,J,1059,,,,         ,                              ,                   ,19,664,   ,2-04302019,,19,100,0,200,0,375
Cordova City School District,200 SpEd Instruction.000.PERS On-Behalf,1-06302019,FY19 OnBehalf Expense PERS,3204.3,0,6/30/2019,J,1109,,,,         ,                              ,                   ,19,779,   ,1-06302019,,19,100,0,200,0,376
Cordova City School District,200 SpEd Instruction.000.PERS On-Behalf,2-04302019,PERS OnBehalf as of April 30 2,10289.15,0,4/30/2019,J,1060,,,,         ,                              ,                   ,19,664,   ,2-04302019,,19,100,0,200,0,376
Cordova City School District,220.000.TRS Retire Contribu,1-07012018,FY19 Adopted Budget,0,2819,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,1-07012018,,19,100,0,220,0,367
Cordova City School District,220 SpEd Support.000.TRS On-Behalf,1-06302019,FY19 OnBehalf Expense TRS,0,2022.19,6/30/2019,J,1108,,,,         ,                              ,                   ,19,779,   ,1-06302019,,19,100,0,220,0,375
Cordova City School District,220 SpEd Support.000.TRS On-Behalf,2-04302019,TRS OnBehalf as of April 30 20,2022.19,0,4/30/2019,J,1059,,,,         ,                              ,                   ,19,664,   ,2-04302019,,19,100,0,220,0,375
Cordova City School District,320.000.TRS Retire Contribu,1-07012018,FY19 Adopted Budget,0,12635,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,1-07012018,,19,100,0,320,0,367
Cordova City School District,320 Guidance.000.TRS On-Behalf,1-06302019,FY19 OnBehalf Expense TRS,4669.82,0,6/30/2019,J,1108,,,,         ,                              ,                   ,19,779,   ,1-06302019,,19,100,0,320,0,375
Cordova City School District,320 Guidance.000.TRS On-Behalf,2-04302019,TRS OnBehalf as of April 30 20,8104.81,0,4/30/2019,J,1059,,,,         ,                              ,                   ,19,664,   ,2-04302019,,19,100,0,320,0,375
Cordova City School District,350 Instructional Svcs.000.TRS On-Behalf,1-06302019,FY19 OnBehalf Expense TRS,599.17,0,6/30/2019,J,1108,,,,         ,                              ,                   ,19,779,   ,1-06302019,,19,100,0,350,0,375
Cordova City School District,350 Instructional Svcs.000.TRS On-Behalf,2-04302019,TRS OnBehalf as of April 30 20,1048.12,0,4/30/2019,J,1059,,,,         ,                              ,                   ,19,664,   ,2-04302019,,19,100,0,350,0,375
Cordova City School District,350.000.PERS On-Behalf,1-06302019,FY19 OnBehalf Expense PERS,424.39,0,6/30/2019,J,1109,,,,         ,                              ,                   ,19,779,   ,1-06302019,,19,100,0,350,0,376
Cordova City School District,350.000.PERS On-Behalf,2-04302019,PERS OnBehalf as of April 30 2,1023.3,0,4/30/2019,J,1060,,,,         ,                              ,                   ,19,664,   ,2-04302019,,19,100,0,350,0,376
Cordova City School District,360.000.TRS Retire Contribu,1-07012018,FY19 Adopted Budget,0,15067,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,1-07012018,,19,100,0,360,0,367
Cordova City School District,360.000.PERS Retire Contrib,1-07012018,FY19 Adopted Budget,0,1467,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,1-07012018,,19,100,0,360,0,368
Cordova City School District,360.000.TRS OnBehalf,1-06302019,FY19 OnBehalf Expense TRS,7214.64,0,6/30/2019,J,1108,,,,         ,                              ,                   ,19,779,   ,1-06302019,,19,100,0,360,0,375
Cordova City School District,360.000.TRS OnBehalf,2-04302019,TRS OnBehalf as of April 30 20,9664.83,0,4/30/2019,J,1059,,,,         ,                              ,                   ,19,664,   ,2-04302019,,19,100,0,360,0,375
Cordova City School District,400.000.TRS Retire Contribu,1-07012018,FY19 Adopted Budget,0,28701,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,1-07012018,,19,100,0,400,0,367
Cordova City School District,400.000.TRS On-Behalf,1-06302019,FY19 OnBehalf Expense TRS,10524.13,0,6/30/2019,J,1108,,,,         ,                              ,                   ,19,779,   ,1-06302019,,19,100,0,400,0,375
Cordova City School District,400.000.TRS On-Behalf,2-04302019,TRS OnBehalf as of April 30 20,18409.83,0,4/30/2019,J,1059,,,,         ,                              ,                   ,19,664,   ,2-04302019,,19,100,0,400,0,375
Cordova City School District,450.000.PERS Retire Contrib,1-07012018,FY19 Adopted Budget,0,3008,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,1-07012018,,19,100,0,450,0,368
Cordova City School District,450.000.PERS On-Behalf,1-06302019,FY19 OnBehalf Expense PERS,1587.08,0,6/30/2019,J,1109,,,,         ,                              ,                   ,19,779,   ,1-06302019,,19,100,0,450,0,376
Cordova City School District,450.000.PERS On-Behalf,2-04302019,PERS OnBehalf as of April 30 2,4434,0,4/30/2019,J,1060,,,,         ,                              ,                   ,19,664,   ,2-04302019,,19,100,0,450,0,376
Cordova City School District,511.000.PERS On-Behalf,1-06302019,FY19 OnBehalf Expense PERS,4.32,0,6/30/2019,J,1109,,,,         ,                              ,                   ,19,779,   ,1-06302019,,19,100,0,511,0,376
