District_Name,Fiscal_Year,Fund_Code,Function_Code,School_Code,Program_Code,Object_Code,Account_Name,Description,Budget,Encumbrance,Amount,Date,Reference_Type,Reference,Check_Key,Claim_No,Received_From,Vendor_Number,Vendor_Name,Invoice_Number,Batch_Year,BatchNo
Delta/Greely School District,19,100,549,100,0,315,TEACHER,August 17 Payroll,0,0,52053.41,8/16/2018,J,1583, , ,,         ,                              ,                   ,19,49
Delta/Greely School District,19,100,549,100,0,315,TEACHER,August 31 Payroll,0,0,52053.41,8/31/2018,J,1607, , ,,         ,                              ,                   ,19,70
Delta/Greely School District,19,100,549,100,0,315,TEACHER,September 14 Payroll,0,0,52311.45,9/13/2018,J,1615, , ,,         ,                              ,                   ,19,87
Delta/Greely School District,19,100,549,100,0,315,TEACHER,Sept 28 Payroll,0,0,52311.45,10/1/2018,J,1623, , ,,         ,                              ,                   ,19,111
Delta/Greely School District,19,100,549,100,0,315,TEACHER,October 12 Payroll,0,0,52311.45,10/12/2018,J,1630, , ,,         ,                              ,                   ,19,125
Delta/Greely School District,19,100,549,100,0,315,TEACHER,October 26 Payroll,0,0,52311.45,10/26/2018,J,1638, , ,,         ,                              ,                   ,19,149
Delta/Greely School District,19,100,549,100,0,315,TEACHER,Nov 9 Payroll,0,0,52311.45,11/12/2018,J,1644, , ,,         ,                              ,                   ,19,175
Delta/Greely School District,19,100,549,100,0,315,TEACHER,November 21 Payroll,0,0,52311.45,11/20/2018,J,1658, , ,,         ,                              ,                   ,19,197
Delta/Greely School District,19,100,549,100,0,315,TEACHER,December 7 Payroll,0,0,52311.45,12/10/2018,J,1669, , ,,         ,                              ,                   ,19,223
Delta/Greely School District,19,100,549,100,0,315,TEACHER,Dec 21 Payroll,0,0,52311.45,12/20/2018,J,1672, , ,,         ,                              ,                   ,19,236
Delta/Greely School District,19,100,549,100,0,315,TEACHER,January 4 Payroll,0,0,52311.45,1/3/2019,J,1674, , ,,         ,                              ,                   ,19,243
Delta/Greely School District,19,100,549,100,0,315,TEACHER,January 18 Payroll,0,0,52311.45,1/18/2019,J,1685, , ,,         ,                              ,                   ,19,264
Delta/Greely School District,19,100,549,100,0,315,TEACHER,February 1 Payroll,0,0,52311.45,2/6/2019,J,1689, , ,,         ,                              ,                   ,19,304
Delta/Greely School District,19,100,549,100,0,315,TEACHER,February 15 Payroll,0,0,52311.45,2/15/2019,J,1699, , ,,         ,                              ,                   ,19,323
Delta/Greely School District,19,100,549,100,0,315,TEACHER,March 1 Payroll,0,0,52311.45,3/8/2019,J,1706, , ,,         ,                              ,                   ,19,363
Delta/Greely School District,19,100,549,100,0,315,TEACHER,March 15 Payroll,0,0,52311.45,3/15/2019,J,1708, , ,,         ,                              ,                   ,19,376
Delta/Greely School District,19,100,549,100,0,315,TEACHER,March 29 Payroll,0,0,52311.45,3/29/2019,J,1716, , ,,         ,                              ,                   ,19,391
Delta/Greely School District,19,100,549,100,0,315,TEACHER,April 12 Payroll,0,0,52311.45,4/15/2019,J,1722, , ,,         ,                              ,                   ,19,414
Delta/Greely School District,19,100,549,100,0,315,TEACHER,April 26 Payroll,0,0,52311.44,5/1/2019,J,1728, , ,,         ,                              ,                   ,19,448
