District_Name,Fiscal_Year,Fund_Code,School_Code,Function_Code,Program_Code,Object_Code,Account_Name,Reference_Number,Requisition_Number,PO_Number,Description,Exclude1,Exclude2,Name,Exclude3,Journal,Amount
Petersburg Borough School District,19,100,000,000,000,363,WORKERS  COMPENSATION,452,0,,Q3 GRANT ADJUSTMENTS,,,367038.kgilpin,,Adjusting,-$466.92
Petersburg Borough School District,19,100,000,000,000,363,WORKERS  COMPENSATION,595,0,,FY19 WORKERS COMP,,,367038.kgilpin,,Adjusting,-$466.92
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,0,0,0,MONTHLY - Period Number:  1,,,Interfund Entry Due To/Due From,,Payroll,"$7,974.97"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,0,0,0,MONTHLY - Period Number:  10,,,Interfund Entry Due To/Due From,,Payroll,"$38,372.19"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,0,0,0,MONTHLY - Period Number:  11,,,Interfund Entry Due To/Due From,,Payroll,"$38,295.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,0,0,0,MONTHLY - Period Number:  12,,,Interfund Entry Due To/Due From,,Payroll,"$44,763.31"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,0,0,0,MONTHLY - Period Number:  12.01,,,Interfund Entry Due To/Due From,,Payroll,"$12,801.57"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,0,0,0,MONTHLY - Period Number:  2,,,Interfund Entry Due To/Due From,,Payroll,"$8,090.10"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,0,0,0,MONTHLY - Period Number:  3,,,Interfund Entry Due To/Due From,,Payroll,"$33,117.84"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,0,0,0,MONTHLY - Period Number:  4,,,Interfund Entry Due To/Due From,,Payroll,"$35,145.32"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,0,0,0,MONTHLY - Period Number:  5,,,Interfund Entry Due To/Due From,,Payroll,"$33,633.01"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,0,0,0,MONTHLY - Period Number:  6,,,Interfund Entry Due To/Due From,,Payroll,"$35,581.80"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,0,0,0,MONTHLY - Period Number:  7,,,Interfund Entry Due To/Due From,,Payroll,"$36,408.70"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,0,0,0,MONTHLY - Period Number:  8,,,Interfund Entry Due To/Due From,,Payroll,"$38,721.08"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,0,0,0,MONTHLY - Period Number:  9,,,Interfund Entry Due To/Due From,,Payroll,"$35,121.29"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,105,0,,Direct Voucher Posting,,,367038.kquitslund,,Payroll,-$1.48
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,107,0,,AP Expense Checks,,,367038.kgilpin,,Accounts Payable,"-$7,853.81"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,109,0,,AP Expense Checks,,,367038.kquitslund,,Accounts Payable,"-$8,249.62"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,110,0,,VOID: DEPOSIT WAS RETURNED,,,367038.kgilpin,,Accounts Payable,$100.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,113,0,,AP Expense Checks,,,367038.kgilpin,,Accounts Payable,-$400.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,114,0,,VOID: made out to wrong person.,,,367038.kgilpin,,Accounts Payable,$120.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,117,0,,AP Expense Checks,,,367038.kgilpin,,Accounts Payable,-$120.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,119,0,,AP Expense Checks,,,367038.kgilpin,,Accounts Payable,"-$25,108.47"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12309,0,0,JULY FOUNDATION ,,,,,Deposits,"$494,868.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12314,0,0,JULY BOROUIGH,,,,,Deposits,"$150,000.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12315,0,0,CASH DEPOSIT,,,,,Deposits,"$32,635.60"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12316,0,0,CASH DEPOSIT,,,,,Deposits,"$1,521.25"
