District_Name,Fiscal_Year,Fund_Code,Org,Account,Object_Code,Project,Doc_Line_Number,Description,Invoice_Date,Date,Period,Vendor_Name,Amount
Valdez City School District,20,100,1,100,315,,PR 190801   5,Employer Contributions,7/1/2019,7/1/2019,0819,,135.43
Valdez City School District,20,100,1,100,315,,PR 190801   6,Payroll Expenditure,7/1/2019,7/1/2019,0819,,"70,503.01"
Valdez City School District,20,100,1,100,315,,PR 190902   3,Employer Contributions,7/1/2019,7/1/2019,0919,,5.32
Valdez City School District,20,100,1,100,315,,PR 190902   4,Payroll Expenditure,7/1/2019,7/1/2019,0919,,"2,726.25"
Valdez City School District,20,100,1,100,315,,PR 190903   7,Employer Contributions,7/1/2019,7/1/2019,0919,,140.75
Valdez City School District,20,100,1,100,315,,PR 190903   8,Payroll Expenditure,7/1/2019,7/1/2019,0919,,"71,988.33"
Valdez City School District,20,100,1,100,315,,PR 191001   7,Employer Contributions,7/1/2019,7/1/2019,1019,,140.75
Valdez City School District,20,100,1,100,315,,PR 191001   8,Payroll Expenditure,7/1/2019,7/1/2019,1019,,"71,988.33"
Valdez City School District,20,100,1,100,315,,PR 191101   7,Employer Contributions,7/1/2019,7/1/2019,1119,,140.75
Valdez City School District,20,100,1,100,315,,PR 191101   8,Payroll Expenditure,7/1/2019,7/1/2019,1119,,"71,988.33"
Valdez City School District,20,100,1,100,315,,PR 191202   7,Employer Contributions,7/1/2019,7/1/2019,1219,,140.75
Valdez City School District,20,100,1,100,315,,PR 191202   8,Payroll Expenditure,7/1/2019,7/1/2019,1219,,"71,988.33"
Valdez City School District,20,100,1,100,315,,PR 200100   5,Payroll Expenditure,7/1/2019,7/1/2019,0120,,"1,033.80"
Valdez City School District,20,100,1,100,315,,PR 200101   7,Employer Contributions,7/1/2019,7/1/2019,0120,,140.75
Valdez City School District,20,100,1,100,315,,PR 200101   8,Payroll Expenditure,7/1/2019,7/1/2019,0120,,"71,988.33"
Valdez City School District,20,100,1,100,315,,PR 200201   7,Employer Contributions,7/1/2019,7/1/2019,0220,,140.75
Valdez City School District,20,100,1,100,315,,PR 200201   8,Payroll Expenditure,7/1/2019,7/1/2019,0220,,"71,988.33"
Valdez City School District,20,100,1,100,315,,PR 200300   5,Employer Contributions,7/1/2019,7/1/2019,0320,,140.75
Valdez City School District,20,100,1,100,315,,PR 200300   6,Payroll Expenditure,7/1/2019,7/1/2019,0320,,"71,988.34"
Valdez City School District,20,100,1,100,315,,PR 200401   7,Employer Contributions,7/1/2019,7/1/2019,0420,,140.75
Valdez City School District,20,100,1,100,315,,PR 200401   8,Payroll Expenditure,7/1/2019,7/1/2019,0420,,"71,988.33"
Valdez City School District,20,100,1,100,315,,PR 200501   5,Employer Contributions,7/1/2019,7/1/2019,0520,,294.86
Valdez City School District,20,100,1,100,315,,PR 200501   6,Payroll Expenditure,7/1/2019,7/1/2019,0520,,"144,592.66"
Valdez City School District,20,100,1,100,315,,PR 200502   5,Employer Contributions,7/1/2019,7/1/2019,0520,,147.43
Valdez City School District,20,100,1,100,315,,PR 200502   6,Payroll Expenditure,7/1/2019,7/1/2019,0520,,"71,988.49"
Valdez City School District,20,100,1,100,315,,PR 200506   3,Payroll Expenditure,7/1/2019,7/1/2019,0520,,"2,607.76"
Valdez City School District,20,100,1,100,329,,PR 190903   9,Payroll Expenditure,7/1/2019,7/1/2019,0919,,521.46
Valdez City School District,20,100,1,100,329,,PR 191001   9,Payroll Expenditure,7/1/2019,7/1/2019,1019,,"2,473.10"
Valdez City School District,20,100,1,100,329,,PR 191101   9,Payroll Expenditure,7/1/2019,7/1/2019,1119,,"2,542.08"
Valdez City School District,20,100,1,100,329,,PR 191202   9,Payroll Expenditure,7/1/2019,7/1/2019,1219,,"2,450.02"
Valdez City School District,20,100,1,100,329,,PR 200101   9,Payroll Expenditure,7/1/2019,7/1/2019,0120,,"2,244.34"
Valdez City School District,20,100,1,100,329,,PR 200201   9,Payroll Expenditure,7/1/2019,7/1/2019,0220,,"3,604.63"
Valdez City School District,20,100,1,100,329,,PR 200300   7,Payroll Expenditure,7/1/2019,7/1/2019,0320,,"1,171.76"
Valdez City School District,20,100,1,100,361,,PR 190801   7,Employer Contributions,7/1/2019,7/1/2019,0819,,"26,299.99"
Valdez City School District,20,100,1,100,361,,PR 190903  10,Employer Contributions,7/1/2019,7/1/2019,0919,,"26,300.00"
Valdez City School District,20,100,1,100,361,,PR 191001  10,Employer Contributions,7/1/2019,7/1/2019,1019,,"26,299.98"
Valdez City School District,20,100,1,100,361,,PR 191101  10,Employer Contributions,7/1/2019,7/1/2019,1119,,"26,299.99"
Valdez City School District,20,100,1,100,361,,PR 191202  10,Employer Contributions,7/1/2019,7/1/2019,1219,,"26,299.99"
Valdez City School District,20,100,1,100,361,,CL  37119   2,ORTHO REIMBURSEMENT,7/1/2019,7/1/2019,0120,"  3493 THOMPSON, KATY C",947.50
Valdez City School District,20,100,1,100,361,,CL  37119   2,ORTHO REIMBURSEMENT,7/1/2019,7/1/2019,0120,"  3493 THOMPSON, KATY C",-947.50
Valdez City School District,20,100,1,100,361,,PO  55783   2,ORTHO REIMBURSEMENT,7/1/2019,7/1/2019,0120,"  3493 THOMPSON, KATY C",947.50
Valdez City School District,20,100,1,100,361,,PR 200101  10,Employer Contributions,7/1/2019,7/1/2019,0120,,"26,299.99"
Valdez City School District,20,100,1,100,361,,PR 200201  10,Employer Contributions,7/1/2019,7/1/2019,0220,,"26,299.99"
Valdez City School District,20,100,1,100,361,,PR 200300   8,Employer Contributions,7/1/2019,7/1/2019,0320,,"26,300.00"
